name,morningstar_category,risk,std_dev,sharpe_ratio_3_yr,beta,r2
John Hancock Funds Multimanager 2050 Lifetime Portfolio Class A (JLKAX),Target-Date 2050,6,17.19,0.96,1.05,0.99
American Funds 2040 Target Date Retirement Fund® Class F-1 (FAUTX),Target-Date 2040,6,14.88,1.10,0.93,0.99
BlackRock LifePath® Index 2060 Fund Institutional Shares (LIZIX),Target-Date 2060,6,17.50,0.94,0.91,0.97
BlackRock LifePath® Index 2055 Fund Institutional Shares (LIVIX),Target-Date 2055,6,17.50,0.94,0.91,0.97
Eaton Vance Tax-Managed Equity Asset Allocation Fund Class A (EAEAX),Allocation--85%+ Equity,6,18.20,0.90,0.94,0.99
Virtus Vontobel Global Opportunities Fund Class C (WWOCX),World Large-Stock Growth,6,16.17,1.02,0.88,0.91
Fidelity® International Discovery Fund (FIGRX),Foreign Large Growth,7,16.64,0.99,0.94,0.92
Fuller & Thaler Behavioral Small-Cap Equity Fund Investor Shares (FTHNX),Small Blend,7,21.41,0.77,0.82,0.89
MFS Aggressive Growth Allocation Fund Class C (MCAGX),Allocation--85%+ Equity,6,16.62,0.99,0.89,0.96
TETON Convertible Securities Fund Institutional Class (WESIX),Convertibles,5,14.37,1.14,0.83,0.92
T. Rowe Price QM Global Equity Fund (TQGEX),World Large-Stock Blend,6,16.85,0.97,0.95,0.99
Voya Target Retirement 2060 Fund Class A (VTRSX),Target-Date 2060,6,17.26,0.95,1.04,1.00
BlackRock EuroFund Institutional Shares (MAEFX),Europe Stock,7,20.97,0.78,,
Toews Hedged U.S. Fund (THLGX),Long-Short Equity,4,11.58,1.42,0.37,0.35
BlackRock LifePath® Index 2050 Fund Institutional Shares (LIPIX),Target-Date 2050,6,17.47,0.94,0.91,0.97
John Hancock Funds II Multimanager 2040 Lifetime Portfolio Class I (JHRDX),Target-Date 2040,6,16.71,0.98,1.08,0.99
The Hartford MidCap Fund Class C (HMDCX),Mid-Cap Growth,6,22.11,0.74,0.92,0.94
Thornburg International Equity Fund Class I (TGVIX),Foreign Large Blend,6,17.24,0.95,0.95,0.88
DWS International Growth Fund - Class A (SGQAX),Foreign Large Growth,7,17.73,0.92,1.00,0.91
Hennessy Small Cap Financial Fund Institutional Class (HISFX),Financial,7,31.66,0.52,1.05,0.67
Segall Bryant & Hamill Workplace Equality Fund Institutional Class (WEQIX),Large Value,6,18.90,0.87,0.97,0.94
Virtus Duff & Phelps Real Estate Securities Fund Class A (PHRAX),Real Estate,8,19.04,0.86,0.92,0.98
Aberdeen Global Equity Fund Institutional Service Class (GLLSX),World Large-Stock Growth,6,16.55,0.99,0.92,0.96
Fuller & Thaler Behavioral Mid-Cap Value Fund Institutional Shares (FTVSX),Mid-Cap Value,6,23.98,0.68,1.03,0.98
Fidelity® Mid-Cap Stock Fund (FMCSX),Mid-Cap Blend,6,21.27,0.77,0.90,0.95
Guggenheim Risk Managed Real Estate Fund Class P (GURPX),Real Estate,8,14.26,1.15,0.64,0.84
Invesco Value Opportunities Fund Class A (VVOAX),Mid-Cap Value,6,31.07,0.53,1.52,0.82
Wells Fargo Diversified Equity Fund - Class C (WFDEX),Large Blend,6,19.37,0.84,,
MFS Global Equity Fund Class A (MWEFX),World Large-Stock Blend,6,17.98,0.91,0.98,0.96
State Street Target Retirement 2055 Fund Class I (SSDOX),Target-Date 2055,6,16.03,1.02,0.85,0.95
Virtus KAR International Small-Mid Cap Fund Class C (VCISX),Foreign Small/Mid Growth,7,20.00,0.82,0.98,0.90
Harding Loevner International Small Companies Portfolio Institutional (HLMRX),Foreign Small/Mid Growth,7,19.36,0.84,0.90,0.87
Lazard Global Equity Select Portfolio Open Shares (GESOX),World Large-Stock Growth,6,15.49,1.05,0.86,0.96
Camelot Event Driven Fund Class A (EVDAX),Event Driven,4,21.90,0.74,0.98,0.68
Principal LifeTime 2055 Fund Institutional Class (LTFIX),Target-Date 2055,6,17.58,0.93,1.06,0.99
Neuberger Berman Sustainable Equity Fund Class C (NRACX),Large Blend,6,18.57,0.88,0.99,0.96
Royce International Premier Fund Service Class (RYIPX),Foreign Small/Mid Growth,7,18.43,0.88,0.86,0.87
Fidelity® Global Equity Income Fund (FGILX),World Large-Stock Blend,6,15.78,1.03,0.88,0.97
FundX Sustainable Impact Fund (SRIFX),Large Growth,6,16.86,0.97,,
Kinetics Paradigm Fund Class Institutional (KNPYX),Mid-Cap Growth,6,34.69,0.47,1.42,0.57
Virtus AllianzGI Global Small-Cap Fund Class A (RGSAX),World Small/Mid Stock,7,21.61,0.75,0.95,0.96
Neuberger Berman International Small Cap Fund Class C (NIOCX),Foreign Small/Mid Growth,7,18.21,0.89,0.89,0.92
Pin Oak Equity Fund (POGSX),Large Blend,6,19.28,0.84,,
SouthernSun Small Cap Fund Class N (SSSFX),Small Blend,7,26.55,0.61,1.01,0.89
State Street Target Retirement 2050 Fund Class I (SSDJX),Target-Date 2050,6,16.05,1.01,0.85,0.95
Vanguard Windsor Fund Investor Shares (VWNDX),Large Value,6,21.97,0.74,1.09,0.98
Invesco Oppenheimer International Growth Fund Class C (OIGCX),Foreign Large Growth,7,17.41,0.93,0.97,0.90
Pear Tree Axiom Emerging Markets World Equity Fund Ordinary Class (QFFOX),Diversified Emerging Mkts,8,18.32,0.89,0.96,0.95
American Funds 2055 Target Date Retirement Fund® Class C (CCJTX),Target-Date 2055,6,15.42,1.05,0.91,0.99
American Funds 2060 Target Date Retirement Fund® Class C (CCKTX),Target-Date 2060,6,15.45,1.05,0.91,0.99
Principal LifeTime Hybrid 2065 Institutional Class Shares (PLHHX),Target-Date 2065+,6,17.50,0.93,1.05,0.99
Timothy Plan Large/Mid Cap Value Fund Class A (TLVAX),Mid-Cap Blend,6,18.78,0.86,0.99,0.94
Trillium ESG Small/Mid Cap Fund Institutional (TSMDX),Mid-Cap Blend,6,22.74,0.71,0.95,0.97
John Hancock Funds II New Opportunities Fund Class I (JHSOX),Small Growth,7,24.53,0.66,0.97,0.93
Ladenburg Aggressive Growth Fund Class I (LAGIX),Allocation--85%+ Equity,6,16.79,0.97,0.90,0.97
MainStay CBRE Real Estate Fund Class I (CRARX),Real Estate,8,20.25,0.80,1.06,0.98
Amana Mutual Funds Trust Income Fund Institutional (AMINX),Large Blend,6,16.21,1.00,0.83,0.90
American Funds 2050 Target Date Retirement Fund® Class C (CCITX),Target-Date 2050,6,15.43,1.05,0.92,0.99
Empiric 2500 Fund Class A (EMCAX),Small Growth,7,23.35,0.69,0.98,0.94
North Square Multi Strategy Fund Class I (PORYX),Allocation--85%+ Equity,6,17.78,0.91,0.92,0.98
Segall Bryant & Hamill Workplace Equality Fund Retail Class (WEQRX),Large Value,6,18.86,0.86,0.96,0.94
Voya Corporate Leaders 100 Fund Class C (VYCBX),Large Value,6,19.01,0.85,1.01,0.96
Invesco Global Growth Fund Class A (AGGAX),World Large-Stock Growth,6,18.16,0.89,1.01,0.97
John Hancock Emerging Markets Equity Fund Class A (JEMQX),Diversified Emerging Mkts,8,20.37,0.80,1.07,0.95
Schwab Core Equity Fund™ (SWANX),Large Blend,6,19.00,0.85,1.03,0.99
Touchstone Mid Cap Fund Class A (TMAPX),Mid-Cap Blend,6,18.24,0.89,0.81,0.93
Touchstone Mid Cap Fund Class Z (TMCTX),Mid-Cap Blend,6,18.24,0.89,0.81,0.93
Fidelity® Stock Selector Mid Cap Fund (FSSMX),Mid-Cap Blend,6,24.07,0.67,1.03,0.98
SEI Institutional Managed Trust Large Cap Fund Class F (SLGAX),Large Blend,6,19.65,0.82,1.02,0.98
Thornburg Developing World Fund Class A (THDAX),Diversified Emerging Mkts,8,19.36,0.84,1.03,0.97
Cambiar SMID Fund Institutional Class (CAMUX),Mid-Cap Blend,6,23.15,0.70,0.89,0.95
TETON Westwood SmallCap Equity Fund Class Institutional (WWSIX),Small Blend,7,28.20,0.57,1.10,0.94
BlackRock LifePath® Index 2055 Fund Investor A Shares (LIVAX),Target-Date 2055,6,17.51,0.92,0.91,0.97
BlackRock LifePath® Index 2060 Fund Investor A Shares (LIZAX),Target-Date 2060,6,17.53,0.92,0.91,0.97
PGIM Jennison Health Sciences Fund- Class A (PHLAX),Health,7,22.16,0.73,1.17,0.69
BlackRock LifePath® Dynamic 2055 Fund Institutional Shares (LPVIX),Target-Date 2055,6,17.76,0.91,0.92,0.96
GuideStone Funds Small Cap Equity Fund Investor Class (GSCZX),Small Blend,7,24.34,0.66,0.97,0.98
Rydex Financial Services Fund Class Investor (RYFIX),Financial,7,22.59,0.72,1.13,0.85
Rydex Health Care Fund Class Investor (RYHIX),Health,7,17.08,0.95,0.78,0.70
William Blair Emerging Markets Leaders Fund Class I (WBELX),Diversified Emerging Mkts,8,20.45,0.79,1.06,0.93
American Funds EuroPacific Growth Fund® Class A (AEPGX),Foreign Large Growth,7,17.89,0.90,1.04,0.96
BlackRock EuroFund Investor A Shares (MDEFX),Europe Stock,7,20.91,0.77,,
ClearBridge International Growth Fund Class A (LGGAX),Foreign Large Growth,7,16.16,1.00,0.88,0.87
CRM Small/Mid Cap Value Fund Class Institutional (CRIAX),Mid-Cap Blend,6,22.41,0.72,0.87,0.96
Homestead Funds Value Fund (HOVLX),Large Value,6,19.21,0.84,0.95,0.97
Madison Small Cap Fund Class Y (BVAOX),Small Blend,7,24.43,0.66,0.97,0.96
Nuveen Santa Barbara Dividend Growth Fund Class A (NSBAX),Large Blend,6,16.93,0.95,0.90,0.96
Victory RS Small Cap Equity Fund Class A (GPSCX),Small Growth,7,25.00,0.65,0.99,0.93
Invesco Main Street Small Cap Fund Class C (OSCCX),Small Blend,7,24.58,0.66,,
Principal Edge MidCap Fund Class Institutional (PEDGX),Mid-Cap Blend,6,21.75,0.74,0.98,0.96
Selected American Shares Fund Class D (SLADX),Large Blend,6,21.85,0.74,1.11,0.87
Thomas White American Opportunities Fund Investor Class (TWAOX),Mid-Cap Blend,6,20.24,0.80,0.92,0.96
American Funds EuroPacific Growth Fund® Class F-1 (AEGFX),Foreign Large Growth,7,17.89,0.90,1.04,0.96
John Hancock Funds Fundamental Global Franchise Fund Class I (JFGIX),World Large-Stock Blend,6,18.14,0.89,0.97,0.92
Thrivent Aggressive Allocation Fund Class S (TAAIX),Allocation--85%+ Equity,6,17.80,0.91,0.95,0.96
Cutler Equity Fund (DIVHX),Large Value,6,15.97,0.41,0.86,0.92
Neuberger Berman Multi-Cap Opportunities Fund Class C (NMUCX),Large Blend,6,20.39,0.79,1.08,0.96
Calvert Growth Allocation Fund Class C (CAACX),Allocation--85%+ Equity,6,16.77,0.96,0.86,0.98
Aberdeen Emerging Markets Fund Institutional Class (ABEMX),Diversified Emerging Mkts,8,20.30,0.79,1.07,0.95
AlphaCentric Robotics and Automation Fund Class C (GNXCX),World Small/Mid Stock,7,23.03,0.70,1.08,0.74
Fidelity® Small Cap Stock Fund (FSLCX),Small Blend,7,25.08,0.64,0.96,0.90
Aberdeen Global Equity Fund Class A (GLLAX),World Large-Stock Growth,6,16.58,0.97,0.92,0.96
BlackRock LifePath® Index 2050 Fund Investor A Shares (LIPAX),Target-Date 2050,6,17.48,0.92,0.91,0.97
Cambiar SMID Fund Investor Class Shares (CAMMX),Mid-Cap Blend,6,23.12,0.70,0.89,0.95
American Century Strategic Allocation: Aggressive Fund I Class (AAAIX),Allocation--70% to 85% Equity,5,15.34,1.05,0.81,0.96
BlackRock 80/20 Target Allocation Fund Class Institutional (BIAPX),Allocation--70% to 85% Equity,5,14.39,1.12,0.81,0.99
Principal LifeTime 2050 Fund Institutional Class (PPLIX),Target-Date 2050,6,17.08,0.94,1.04,0.99
American Beacon Shapiro Equity Opportunities Fund Investor Class (SHXPX),Large Value,6,27.28,0.59,1.30,0.93
American Funds Fundamental Investors® Class C (AFICX),Large Blend,6,18.00,0.89,0.96,0.97
BlackRock Advantage Small Cap Core Fund Investor C Shares (BDSCX),Small Blend,7,25.33,0.63,1.02,0.99
BNY Mellon International Stock Fund Class A (DISAX),Foreign Large Growth,7,13.25,1.24,0.72,0.85
TETON Convertible Securities Fund Class AAA (WESRX),Convertibles,5,14.37,1.12,0.83,0.92
American Century International Growth Fund C Class (AIWCX),Foreign Large Growth,7,16.75,0.96,0.93,0.89
Huber Select Large Cap Value Fund Institutional Class (HULEX),Large Value,6,18.99,0.85,0.98,0.91
John Hancock Funds II Multimanager 2040 Lifetime Portfolio Class A (JLIAX),Target-Date 2040,6,16.66,0.96,1.08,0.99
PIMCO RAE PLUS Small Fund Class C (PCFEX),Small Value,7,31.07,0.52,1.16,0.96
Wells Fargo Common Stock Fund - Class A (SCSAX),Mid-Cap Blend,6,24.52,0.65,1.02,0.96
Kinetics Paradigm Fund No Load Class (WWNPX),Mid-Cap Growth,6,34.69,0.46,1.42,0.57
Private Capital Management Value Fund Class I (VFPIX),Small Blend,7,29.56,0.54,1.14,0.91
AB Core Opportunities Fund Class A (ADGAX),Large Blend,6,17.73,0.90,0.94,0.96
Cohen & Steers Realty Shares Fund Class C (CSJCX),Real Estate,8,18.37,0.87,0.97,0.99
Hodges Small Intrinsic Value Fund Retail Class (HDSVX),Small Value,7,33.79,0.47,1.28,0.88
Eaton Vance Tax-Managed Global Dividend Income Fund Class C (ECDIX),World Large-Stock Blend,6,18.64,0.86,1.03,0.98
State Street Target Retirement 2045 Fund Class I (SSDDX),Target-Date 2045,6,15.65,1.02,0.83,0.95
AdvisorOne CLS Global Aggressive Equity Fund Class N (CLACX),World Large-Stock Blend,6,19.28,0.83,1.07,0.96
Harding Loevner International Small Companies Portfolio Investor (HLMSX),Foreign Small/Mid Growth,7,19.36,0.83,0.90,0.87
Thornburg International Equity Fund Class A (TGVAX),Foreign Large Blend,6,17.19,0.94,0.94,0.87
T. Rowe Price Small-Cap Value Fund (PRSVX),Small Blend,7,22.93,0.70,0.85,0.95
American Century Investments One Choice 2060 Portfolio I Class (ARGNX),Target-Date 2060,6,15.75,1.02,0.97,0.99
BMO Small-Cap Growth Fund Class I (MSGIX),Small Growth,7,23.14,0.69,0.92,0.95
Boston Trust Walden SMID Cap Fund (WASMX),Mid-Cap Blend,6,19.52,0.82,0.79,0.92
MFS Lifetime 2055 Fund Class I (LFIIX),Target-Date 2055,6,16.48,0.97,0.87,0.96
Neuberger Berman Real Estate Fund Class C (NRECX),Real Estate,8,16.54,0.97,0.87,0.97
Pioneer Global Equity Fund Class Y (PGSYX),World Large-Stock Blend,6,18.48,0.87,1.00,0.93
American Funds Global Insight Fund Class F-1 (AGVEX),World Large-Stock Blend,6,15.52,1.03,0.85,0.97
Fidelity® Total International Equity Fund (FTIEX),Foreign Large Blend,6,16.89,0.95,0.99,0.98
MFS Lifetime 2050 Fund Class I (MFFIX),Target-Date 2050,6,16.47,0.97,0.87,0.96
Vanguard Strategic Equity Fund Investor Shares (VSEQX),Mid-Cap Blend,6,23.77,0.67,1.04,0.99
American Funds 2045 Target Date Retirement Fund® Class C (CCHTX),Target-Date 2045,6,15.19,1.05,0.91,0.99
Hennessy Small Cap Financial Fund Investor Class (HSFNX),Financial,7,31.62,0.51,1.05,0.67
PRIMECAP Odyssey Growth Fund (POGRX),Large Growth,6,20.45,0.78,1.02,0.84
Amana Mutual Funds Trust Income Fund Investor (AMANX),Large Blend,6,16.22,0.99,0.83,0.90
Fidelity® Select Materials Portfolio (FSDPX),Natural Resources,8,22.68,0.70,1.10,0.80
JPMorgan Investor Growth Fund Class C (OGGCX),Allocation--85%+ Equity,6,16.74,0.95,0.86,0.98
MFS Low Volatility Equity Fund Class C (MLVGX),Large Blend,6,16.39,0.97,0.85,0.91
AMG Yacktman Global Fund - Class I (YFSIX),World Large-Stock Value,6,18.97,0.84,0.97,0.83
Carillon Scout Small Cap Fund Class C (CSSJX),Small Growth,7,25.57,0.62,1.02,0.94
MFS Lifetime 2045 Fund Class I (LTMKX),Target-Date 2045,6,16.44,0.97,0.87,0.96
Aberdeen Emerging Markets Fund Institutional Service Class (AEMSX),Diversified Emerging Mkts,8,20.28,0.79,1.07,0.95
American Funds Global Insight Fund Class A (AGVFX),World Large-Stock Blend,6,15.49,1.03,0.85,0.97
Goldman Sachs Mid Cap Value Fund Class C (GCMCX),Mid-Cap Blend,6,21.30,0.75,0.92,0.99
Principal LifeTime Hybrid 2060 Fund Institutional Class (PLTHX),Target-Date 2060,6,17.28,0.92,1.04,0.99
Hundredfold Select Alternative Fund Service Class (SFHYX),Tactical Allocation,6,7.43,2.14,-0.01,0.00
Pacific Funds Portfolio Optimization Aggressive-Growth Fund Class C (POCEX),Allocation--85%+ Equity,6,18.58,0.86,0.99,0.96
Thrivent Aggressive Allocation Fund Class A (TAAAX),Allocation--85%+ Equity,6,17.76,0.90,0.95,0.96
Transamerica Asset Allocation Growth Portfolio Class I (TAGIX),Allocation--85%+ Equity,6,19.37,0.82,1.06,0.96
Wells Fargo Large Cap Core Fund - Class Inst (EGOIX),Large Blend,6,19.64,0.81,1.04,0.96
Laudus International MarketMasters Fund™ (SWMIX),Foreign Large Growth,7,20.13,0.79,1.13,0.91
AlphaCentric Premium Opportunity Fund Class I (HMXIX),Options Trading,8,11.08,1.44,0.01,0.00
John Hancock Funds II New Opportunities Fund Class A (JASOX),Small Growth,7,24.52,0.65,0.97,0.93
PGIM QMA Large-Cap Core Equity Fund- Class C (PTMCX),Large Blend,6,19.62,0.81,1.06,0.98
AMG Yacktman Global Fund - Class N (YFSNX),World Large-Stock Value,6,18.93,0.84,0.96,0.83
T. Rowe Price Target 2045 Fund (RPTFX),Target-Date 2045,6,15.02,1.06,0.93,0.99
BlackRock LifePath® Dynamic 2055 Fund Investor A Shares (LPVAX),Target-Date 2055,6,17.74,0.90,0.92,0.96
BlackRock LifePath® Index 2045 Fund Institutional Shares (LIHIX),Target-Date 2045,6,16.86,0.94,0.88,0.97
CRM Small/Mid Cap Value Fund Class Investor (CRMAX),Mid-Cap Blend,6,22.32,0.71,0.86,0.96
Eaton Vance Worldwide Health Sciences Fund Class C (ECHSX),Health,7,14.84,1.07,0.99,0.96
FAM Value Fund Institutional Class (FAMWX),Mid-Cap Growth,6,18.84,0.84,0.84,0.94
Hartford International Growth Fund Class Y (HNCYX),Foreign Large Growth,7,16.69,0.95,1.06,0.95
AQR Large Cap Multi-Style Fund Class I (QCELX),Large Blend,6,19.18,0.83,1.00,0.97
"BlackRock Advantage SMID Cap Fund, Inc.Investor C Shares (MCSPX)",Mid-Cap Blend,6,18.88,0.84,0.76,0.91
Loomis Sayles Global Allocation Fund Class Y (LSWWX),World Allocation,5,13.27,1.20,0.73,0.93
TETON Westwood SmallCap Equity Fund Class AAA (WESCX),Small Blend,7,28.19,0.56,1.10,0.94
Hartford International Growth Fund Class I (HNCJX),Foreign Large Growth,7,16.71,0.95,1.07,0.95
Madison Small Cap Fund Class A (MASMX),Small Blend,7,,,,
Nicholas Equity Income Fund Class I (NSEIX),Large Value,6,17.20,0.92,0.90,0.93
Royce Global Financial Services Fund Service Class (RYFSX),Financial,7,22.50,0.71,0.99,0.94
Rydex Financial Services Fund Class A (RYFNX),Financial,7,22.59,0.70,1.13,0.85
Rydex Health Care Fund Class H (RYHAX),Health,7,17.10,0.93,0.78,0.70
Thornburg Global Opportunities Fund Class C (THOCX),World Large-Stock Blend,6,21.20,0.76,1.15,0.90
Bridgeway Ultra Small Company Market Fund (BRSIX),Small Value,7,31.55,0.50,1.13,0.95
Franklin Corefolio Allocation Fund Class A (FTCOX),Allocation--85%+ Equity,6,18.07,0.88,0.97,0.98
Rydex Financial Services Fund Class H (RYFAX),Financial,7,22.58,0.70,1.13,0.85
Rydex Health Care Fund Class A (RYHEX),Health,7,17.08,0.93,0.78,0.70
TETON Convertible Securities Fund Class A (WEIAX),Convertibles,5,14.39,1.10,0.83,0.92
William Blair Emerging Markets Leaders Fund Class N (WELNX),Diversified Emerging Mkts,8,20.45,0.77,1.06,0.93
American Century Strategic Allocation: Aggressive Fund Investor Class (TWSAX),Allocation--70% to 85% Equity,5,15.39,1.03,0.82,0.95
MainStay CBRE Real Estate Fund Class A (CLARX),Real Estate,8,20.22,0.78,1.06,0.98
BlackRock LifePath® Dynamic 2050 Fund Institutional Shares (STLFX),Target-Date 2050,6,17.84,0.89,0.92,0.96
Fidelity Freedom® Index 2050 Fund - Institutional Premium Class (FFOPX),Target-Date 2050,6,16.12,0.98,0.86,0.97
Fidelity Freedom® Index 2060 Fund - Institutional Premium Class (FFLEX),Target-Date 2060,6,16.12,0.98,0.86,0.97
Fidelity® Large Cap Stock Fund (FLCSX),Large Blend,6,20.98,0.75,1.08,0.91
Northern Mid Cap Index Fund (NOMIX),Mid-Cap Blend,6,23.16,0.68,1.00,1.00
Fidelity Freedom® Index 2040 Fund - Institutional Premium Class (FFIZX),Target-Date 2040,6,16.10,0.98,0.86,0.97
Fidelity Freedom® Index 2055 Fund - Institutional Premium Class (FFLDX),Target-Date 2055,6,16.09,0.98,0.86,0.97
American Century Investments One Choice 2060 Portfolio Investor Class (ARGVX),Target-Date 2060,6,15.75,1.00,0.97,0.99
Eaton Vance Dividend Builder Fund Class C (ECTMX),Large Blend,6,18.06,0.87,0.97,0.98
Fidelity Freedom® Index 2045 Fund - Institutional Premium Class (FFOLX),Target-Date 2045,6,16.09,0.98,0.86,0.97
Hennessy Cornerstone Large Growth Fund Institutional Class (HILGX),Large Value,6,22.67,0.70,1.14,0.90
MFS Lifetime 2060 Fund Class A (MFJAX),Target-Date 2060,6,16.52,0.96,,
Dodge & Cox Stock Fund (DODGX),Large Value,6,23.39,0.68,1.18,0.87
Wells Fargo Special Mid Cap Value Fund - Class Inst (WFMIX),Mid-Cap Value,6,22.58,0.70,0.97,0.98
Fidelity Freedom® Index 2050 Fund - Investor Class (FIPFX),Target-Date 2050,6,16.14,0.98,0.86,0.97
Fidelity Freedom® Index 2060 Fund - Investor Class (FDKLX),Target-Date 2060,6,16.12,0.98,0.86,0.97
Fidelity® Multi-Asset Index Fund (FFNOX),Allocation--70% to 85% Equity,5,15.65,1.01,0.84,0.97
Hodges Small Cap Fund Institutional Class (HDSIX),Small Blend,7,31.94,0.49,1.25,0.93
Fidelity Freedom® Index 2040 Fund - Investor Class (FBIFX),Target-Date 2040,6,16.11,0.98,0.86,0.97
Principal Edge MidCap Fund Class A (PEMCX),Mid-Cap Blend,6,21.72,0.73,0.98,0.96
Sit International Growth Fund (SNGRX),Foreign Large Growth,7,16.82,0.94,0.94,0.91
American Century Global Gold Fund C Class (AGYCX),Equity Precious Metals,8,34.76,0.45,0.77,0.16
Janus Henderson Overseas Fund Class I (JIGFX),Foreign Large Blend,6,19.35,0.81,1.12,0.95
JHancock Real Estate Securities Fund Class I (JABGX),Real Estate,8,18.25,0.86,0.85,0.95
"Morgan Stanley Institutional Fund, Inc. Next Gen Emerging Markets Portfolio Class I (MFMIX)",Diversified Emerging Mkts,8,20.97,0.75,0.94,0.80
Selected American Shares Fund Class S (SLASX),Large Blend,6,21.86,0.72,1.11,0.87
Fidelity Freedom® Index 2045 Fund - Investor Class (FIOFX),Target-Date 2045,6,16.11,0.98,0.86,0.97
Fidelity Freedom® Index 2055 Fund - Investor Class (FDEWX),Target-Date 2055,6,16.09,0.98,0.86,0.97
Mirae Asset Emerging Markets Great Consumer Fund Class I (MICGX),Diversified Emerging Mkts,8,17.71,0.89,0.90,0.89
BlackRock Health Sciences Opportunities Portfolio Institutional Shares (SHSSX),Health,7,15.19,1.04,0.93,0.96
Eaton Vance Atlanta Capital SMID-Cap Fund Class C (ECASX),Mid-Cap Growth,6,21.49,0.73,0.85,0.89
Federated Hermes Mid-Cap Index Fund Institutional Shares (FMCRX),Mid-Cap Blend,6,23.12,0.68,1.00,1.00
Kinetics Paradigm Fund Advisor Class A (KNPAX),Mid-Cap Growth,6,34.68,0.45,1.42,0.57
Touchstone International Growth Fund Class Y (TNSYX),Foreign Large Growth,7,18.74,0.84,0.97,0.77
Pax Ellevate Global Womens Leadership Fund Institutional Class (PXWIX),World Large-Stock Blend,6,17.95,0.88,,
