rank,school,type,grades,address,city,zip,county,district,year
1159,Marie Durand Elementary School,Public,K-5,371 W Forest Grove Rd,Vineland,08360,Cumberland County,Vineland Public School District,2018
1160,Benjamin Franklin Elementary School,Public,"PK, KG-7",42 Park Ave,Newark,07104,Essex County,Newark Public School District,2018
1161,Camden Street Elementary School,Public,"PK, KG-8",281 Camden St,Newark,07103,Essex County,Newark Public School District,2018
1162,Oak Street Elementary School,Public,2-5,75 Oak Street,Lakewood,08701,Ocean County,Lakewood Township School District,2018
1163,Edward T. Bowser Senior School of Excellence,Public,"PK, KG-5",180 Lincoln Street,East Orange,07017,Essex County,East Orange School District,2018
1164,Marion P. Thomas Charter School,"Public, Charter, Alternative","PK, KG-12",125 Sussex Ave,Newark,07103,Essex County,Marion P. Thomas Charter School,2018
1165,Alexander D. Sullivan School,Public,"PK, KG-5",171 Seaview Ave,Jersey City,07305,Hudson County,Jersey City Public Schools,2018
1166,Gordon Parks Academy,Public,"PK, KG-2",98 Greenwood Ave,East Orange,07017,Essex County,East Orange School District,2018
1167,Ross Street Elementary School,Public,K-5,Ross Street,Woodbridge,07095,Middlesex County,Woodbridge Township School District,2018
1168,Roberto Clemente Elementary School,Public,"PK, KG-7",257 Summer Ave,Newark,07104,Essex County,Newark Public School District,2018
1169,Leap Academy University Charter School,"Public, Charter, Alternative",K-12,130 North Broadway,Camden,08102,Camden County,LEAP Academy University Charter School,2018
1170,President Barack Obama Elementary School,Public,"PK, KG-8",1830 Kennedy Blvd,Jersey City,07305,Hudson County,Jersey City Public Schools,2018
1171,Dewitt D. Barlow Elementary School,Public,K-5,E  Front St & Farragut Rd,Plainfield,07060,Union County,Plainfield Public School District,2018
1172,KIPP: Cooper Norcross A New Jersey Nonprofit Corporation,"Public, Alternative",K-10,525 Clinton Street,Camden,08103,Camden County,KIPP: Cooper Norcross A New Jersey Nonprofit Corporation,2018
1173,Texas Avenue School,Public,K-8,2523 Arctic Avenue,Atlantic City,08401,Atlantic County,Atlantic City School District,2018
