rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
650,McGalliard Elementary School,K-5,Hamilton Township Public School District,262,33.2%,"$8,432",55.2,2017
651,Arthur Rann Elementary School,K-6,Galloway Township Public School District,677,54.4%,"$10,851",55.2,2017
652,South Amboy Elementary,"PK, KG-5",South Amboy School District,540,43.3%,"$9,301",55,2017
653,Paradise Knoll Elementary School,K-5,West Milford Township Public School District,280,7.5%,"$10,908",55,2017
654,Laurel Springs School,"PK, KG-6",Laurel Springs School District,200,36.5%,"$11,410",54.9,2017
655,Leroy Gordon Cooper Elementary School,K-5,Old Bridge Township School District,243,44.0%,"$12,805",54.9,2017
656,Fredon Township School,"PK, KG-6",Fredon Township School District,225,9.8%,"$17,927",54.9,2017
657,Washington Elementary School,K-5,Edison Township School District,584,29.6%,"$6,250",54.9,2017
658,Mansfield Township Elementary,"PK, KG-6",Mansfield Township Elementary School District,644,33.5%,"$12,529",54.9,2017
659,Livingston Elementary,"PK, KG-4",Township of Union School District,421,24.9%,"$7,845",54.9,2017
660,Silver Bay Elementary School,"PK, KG-5",Toms River Regional School District,648,23.8%,"$7,524",54.8,2017
661,First Avenue School,"PK, KG-8",Newark Public School District,"1,157",79.8%,"$8,759",54.8,2017
662,Hurffville Elementary School,K-5,Washington Township School District,494,17.6%,"$9,904",54.8,2017
663,Joseph A. Citta Elementary School,"PK, KG-5",Toms River Regional School District,665,36.7%,"$6,372",54.6,2017
664,Alloway Township School,"PK, KG-8",Alloway Township School District,374,16.3%,"$10,893",54.6,2017
665,Indian Mills Elementary School,"PK, KG-4",Shamong Township School District,403,12.2%,"$15,158",54.5,2017
666,Ridge and Valley Charter School,K-8,Ridge and Valley Charter School,126,0.0%,"$13,265",54.5,2017
667,School #1,K-5,Clifton Public School District,287,61.3%,"$12,189",54.4,2017
668,Number 10,"PK, KG-5",Linden Public School District,276,25.7%,"$10,420",54.4,2017
669,Holly Glen Elementary School,"PK, KG-4",Monroe Township Public School District,613,43.4%,"$6,850",54.3,2017
670,Valley Road School,"PK, KG-8",Stanhope School District,316,15.5%,"$15,419",54.3,2017
671,Walter F. Robinson Community School,"PK, KG-8",Bayonne School District,763,64.4%,"$10,239",54.1,2017
672,Mark Newbie Elementary School,K-5,Collingswood Public School District,135,34.1%,"$11,326",54.1,2017
