rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
120,Thomas R Grover Middle School,6-8,West Windsor-Plainsboro Regional School District,"1,264",5.4%,"$12,108",80.2,2018
121,Haworth Public School,K-8,Haworth Public School District,419,0.0%,"$17,223",80,2018
122,William F. Halloran School No.22,2-8,Elizabeth Public Schools,"1,084",70.0%,"$6,924",79.9,2018
123,Logan Middle School,5-8,Logan Township School District,249,19.7%,"$12,685",79.9,2018
124,Manalapan-Englishtown Middle School,7-8,Manalapan-Englishtown Regional School District,"1,223",9.3%,"$8,020",79.8,2018
125,Science Park High School,7-12,Newark Public School District,811,75.7%,"$11,449",79.7,2018
126,Maple Place Middle School,5-8,Oceanport School District,252,7.9%,"$17,151",79.6,2018
127,Princeton Middle School,6-8,Princeton Public School District,719,11.1%,"$11,879",79.6,2018
128,Malcolm E Nettingham Middle School,5-8,Scotch Plains-Fanwood School District,906,8.6%,"$8,253",79.3,2018
129,Clifton T. Barkalow School,6-8,Freehold Township School District,672,9.2%,"$11,513",79.3,2018
130,Spring Lake Heights Elementary School,"PK, KG-8",Spring Lake Heights School District,337,4.5%,"$13,667",79.2,2018
131,Oldmans Township School,"PK, KG-8",Oldmans Township School District,274,23.4%,"$12,139",79,2018
132,Hillsborough Township Middle School,7-8,Hillsborough Township Public School District,"1,196",9.3%,"$6,250",78.9,2018
133,Valleyview Middle School,6-8,Denville Township K-8 School District,592,4.6%,"$10,360",78.9,2018
134,Califon Public School,"PK, KG-8",Califon Borough School District,87,3.4%,"$28,096",78.9,2018
135,Edgar Middle School,5-8,Metuchen Public School District,724,6.4%,"$7,842",78.7,2018
136,Glen Rock Middle School,6-8,Glen Rock Public School District,578,0.9%,"$15,503",78.7,2018
137,Montgomery Upper Middle School,7-8,Montgomery Township School District,826,4.4%,"$14,018",78.6,2018
138,Westwood Regional Middle School,6-8,Westwood Regional School District,419,9.8%,"$3,269",78.6,2018
139,Dwight D. Eisenhower School,6-8,Freehold Township School District,667,12.7%,"$10,436",78.3,2018
140,North Star Academy Charter School,K-12,North Star Academy Charter School,"4,866",85.6%,"$10,058",78.3,2018
141,Bedminster Township Public School,"PK, KG-8",Bedminster Township Public School District,523,9.4%,"$17,615",78.2,2018
142,Park Ridge High School,7-12,Park Ridge School District,559,5.2%,"$17,389",78.1,2018
143,Pond Road Middle School,5-8,Robbinsville Public Schools,"1,049",3.3%,"$4,739",78,2018
144,Bridgewater-Raritan Middle School,7-8,Bridgewater-Raritan Regional School District,"1,344",10.3%,"$11,299",78,2018
145,Classical Academy Charter School of Clifton,6-8,Classical Academy Charter School of Clifton,118,39.0%,"$9,165",78,2018
146,Thomas Jefferson Middle School,6-8,Lodi School District,724,59.8%,"$7,692",77.8,2018
147,Branchburg Central Middle School,6-8,Branchburg Township School District,501,5.6%,"$17,027",77.7,2018
148,Honiss Elementary/Middle School,K-8,Dumont Public School District,614,12.7%,"$8,229",77.6,2018
149,Clinton Township Middle School,6-8,Clinton Township School District,344,5.8%,"$4,447",77.5,2018
150,Green Brook Middle School,5-8,Green Brook Township Public School District,424,3.1%,"$12,964",77.5,2018
151,Delaware Township School,"PK, KG-8",Delaware Township School District,387,9.3%,"$17,866",77.2,2018
152,Monroe Township Middle School,6-8,Monroe Township School District,"1,662",7.9%,"$13,214",76.9,2018
153,Memorial Junior School,6-8,Hanover Township School District,514,1.4%,"$9,917",76.9,2018
154,Valley Middle School,6-8,Oakland Public School District,556,5.0%,"$13,567",76.8,2018
155,Haskell Elementary School,"PK, KG-8",Wanaque School District,411,32.4%,"$15,716",76.7,2018
156,Selzer Elementary/Middle School,"PK, KG-8",Dumont Public School District,520,8.7%,"$7,760",76.7,2018
157,Riverdale School,"PK, KG-8",Riverdale School District,333,15.6%,"$12,574",76.4,2018
158,Central Middle School,6-8,Long Hill Township School District,271,2.6%,"$9,645",76.3,2018
159,Kingsway Regional Middle School,7-8,Kingsway Regional School District,963,10.8%,"$6,677",76.2,2018
160,Manasquan Elementary School,"PK, KG-8",Manasquan School District,580,16.6%,"$16,394",76,2018
161,Crossroads North Middle School,6-8,South Brunswick School District,"1,046",10.1%,"$12,082",75.8,2018
162,Montague Township School,"PK, KG-8",Montague Township School District,246,37.0%,"$17,566",75.8,2018
163,David E. Owens Middle School,6-8,New Milford Public School District,523,17.4%,"$11,019",75.7,2018
