rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
836,Ford Avenue Elementary School,K-5,Woodbridge Township School District,223,27.4%,"$4,753",41.1,2018
837,Twin Hills Elementary School,K-4,Willingboro Public School District,312,62.5%,"$11,881",41,2018
838,Midland School #1,"PK, KG-8",Rochelle Park School District,477,19.3%,"$14,087",41,2018
839,Carteret Elementary School,K-6,Bloomfield Township School District,415,65.1%,"$7,694",41,2018
840,Whiting Elementary School,"PK, KG-5",Manchester Township School District,242,33.1%,"$19,177",40.9,2018
841,Blairstown Elementary School,"PK, KG-6",Blairstown Elementary Township School District,465,15.7%,"$13,951",40.8,2018
842,Lafayette Street School,"PK, KG-8",Newark Public School District,"1,187",91.2%,"$7,737",40.6,2018
843,Robinson Elementary School,K-5,Hamilton Township Public School District,375,26.1%,"$8,942",40.5,2018
844,Tabernacle Elementary School,"PK, KG-4",Tabernacle Township School District,379,7.1%,"$11,182",40.4,2018
845,Erial Elementary School,"PK, KG-5",Gloucester Township Public Schools,658,47.7%,"$12,280",40.3,2018
846,Avenel Street Elementary School,K-5,Woodbridge Township School District,442,41.9%,"$4,286",40.2,2018
847,Rafael Cordero y Molina,"PK, KG-8",Jersey City Public Schools,822,44.6%,"$10,087",40.2,2018
848,Reeds Road Elementary School,K-6,Galloway Township Public School District,557,54.9%,"$12,182",40.1,2018
849,Greater Brunswick Charter School,K-8,Greater Brunswick Charter School,394,85.8%,"$10,212",40.1,2018
850,Ocean Gate Elementary School,"PK, KG-6",Ocean Gate School District,156,59.6%,"$18,531",40,2018
851,Dr. Albert M. Bean School,"PK, KG-5",Pine Hill School District,349,59.3%,"$9,096",39.9,2018
852,Helen L Beeler,K-5,Evesham Township School District,573,12.4%,"$7,091",39.9,2018
853,Van Derveer Elementary School,"PK, KG-5",Somerville Public School District,816,38.8%,"$11,128",39.9,2018
854,Slackwood Elementary School,K-3,Lawrence Township Public School District,267,44.2%,"$16,162",39.9,2018
855,Myron L. Powell Elementary School,"PK, KG-8",Lawrence Township School District,465,39.4%,"$12,218",39.8,2018
856,Lincoln Community School #5,"PK, KG-8",Bayonne School District,465,54.4%,"$15,194",39.7,2018
857,West Dover Elementary School,K-5,Toms River Regional School District,383,29.5%,"$7,274",39.7,2018
