rank,school,type,grades,address,city,zip,county,district,year
533,Community Park School,Public,"PK, KG-5",372 Witherspoon Street,Princeton,08540,Mercer County,Princeton Public School District,2019
534,Frances DeMasi Elementary School,Public,K-5,199 Evesboro  Medford Rd,Marlton,08053,Burlington County,Evesham Township School District,2019
535,Laura Donovan School,Public,K-5,237 Stonehurst Blvd,Freehold,07728,Monmouth County,Freehold Township School District,2019
536,Bee Meadow School,Public,K-5,120 Reynolds Avenue,Whippany,07981,Morris County,Hanover Township School District,2019
537,Memorial Elementary School,Public,"PK, KG-1",400 Hudson Avenue,Pitman,08071,Gloucester County,Pitman Boro School District,2019
538,Norman S. Weir,Public,K-8,152 College Boulevard,Paterson,07505,Passaic County,Paterson Public School District,2019
539,Milford Public School,Public,"PK, KG-5",7 Hillside Avenue,Milford,08848,Hunterdon County,Milford Borough School District,2019
540,Roosevelt Elementary School,Public,"PK, KG-4",135 Jackson Avenue,South Plainfield,07080,Middlesex County,South Plainfield School District,2019
541,Westbrook Elementary School,Public,K-5,55 Nosenzo Pond Road,West Milford,07480,Passaic County,West Milford Township Public School District,2019
542,Apshawa Elementary School,Public,K-5,140 High Crest Drive,West Milford,07480,Passaic County,West Milford Township Public School District,2019
543,Kennedy Elementary School,Public,K-4,20 Pleasant Hill Road,Succasunna,07876,Morris County,Roxbury Township School District,2019
544,Washington School,Public,"PK, KG-5",310 N  Main Street,Lodi,07644,Bergen County,Lodi School District,2019
545,Fredon Township School,Public,"PK, KG-6",459 Route 94,Newton,07860,Sussex County,Fredon Township School District,2019
546,School #5,Public,"PK, KG-4",214 Day Ave,Cliffside Park,07010,Bergen County,Cliffside Park School District,2019
547,School #14,Public,"PK, KG-5",99 St  Andrews Boulevard,Clifton,07012,Passaic County,Clifton Public School District,2019
548,Hazelwood Elementary School,Public,"PK, KG-3",800 Hazelwood Avenue,Middlesex,08846,Middlesex County,Middlesex Borough School District,2019
549,Pennsylvania Avenue Elementary School,Public,"PK, KG-5",Pennsylvania Avenue,Colonia,07067,Middlesex County,Woodbridge Township School District,2019
550,Eldridge Park School,Public,K-3,55 Lawn Park Ave,Lawrenceville,08648,Mercer County,Lawrence Township Public School District,2019
551,Pines Lake Elementary School,Public,K-5,511 Pines Lake Drive,Wayne,07470,Passaic County,Wayne Township Public School District,2019
552,Nicolaus Copernicus School,Public,"PK, KG-5",3385 Kennedy Blvd,Jersey City,07307,Hudson County,Jersey City Public Schools,2019
553,Alfred Zampella School,Public,"PK, KG-8",201 North St,Jersey City,07307,Hudson County,Jersey City Public Schools,2019
554,Hainesport Township School,Public,"PK, KG-8",211 Broad Street,Hainesport,08036,Burlington County,Hainesport Township School District,2019
555,Madison Park Elementary School,Public,K-5,33 Harvard Rd,Parlin,08859,Middlesex County,Old Bridge Township School District,2019
556,Oliver Street School,Public,"PK, KG-8",86 Oliver St,Newark,07105,Essex County,Newark Public School District,2019
557,Mansion Avenue School,Public,3-6,300 Mansion Avenue,Audubon,08106,Camden County,Audubon Public School District,2019
558,Haskell Elementary School,Public,"PK, KG-8",973 Ringwood Avenue,Haskell,07420,Passaic County,Wanaque School District,2019
559,Franklin Township School,Public,"PK, KG-6",52 Asbury  Broadway Road,Washington,07882,Warren County,Franklin Township School District,2019
560,Victor Mravlag School No. 21,Public,"PK, KG-8",132 Shelley Avenue,Elizabeth,07208,Union County,Elizabeth Public Schools,2019
561,C. Richard Applegate School,Public,K-5,47 Jeanne Brennan Drive,Freehold,07728,Monmouth County,Freehold Township School District,2019
562,Bayview Elementary School,Public,K-5,300 Leonardville Road,Belford,07718,Monmouth County,Middletown Township Public School District,2019
563,Memorial Elementary School,Public,"PK, KG-4",201 Squaw Brook Rd.,North Haledon,07508,Passaic County,North Haledon School District,2019
564,W.C.K. Walls Elementary,Public,2-5,320 Grant Avenue,Pitman,08071,Gloucester County,Pitman Boro School District,2019
565,Upper Greenwood Lake Elementary School,Public,K-5,41 Henry Road,Hewitt,07421,Passaic County,West Milford Township Public School District,2019
566,Hope Township School,Public,"PK, KG-8",320 Johnsonburg Road,Hope,07844,Warren County,Hope Township School District,2019
567,Knowlton Township Board of Education,Public,"PK, KG-6",80 Route 46,Delaware,07833,Warren County,Knowlton Township School District,2019
568,Forest Avenue School,Public,K-4,118 Forest Ave,Verona,07044,Essex County,Verona Public School District,2019
569,School 1,Public,K-5,1 East 32nd Street,Paterson,07514,Passaic County,Paterson Public School District,2019
570,Hudson Elementary School,Public,"PK, KG-3",167  19th St,Union City,07087,Hudson County,Union City School District,2019
571,George Washington Elementary School,Public,"PK, KG-5",175 Albert Street,North Arlington,07031,Bergen County,North Arlington School District,2019
572,Switlik Elementary School,Public,"PK, KG-5",75 West Veterans Highway,Jackson,08527,Ocean County,Jackson Township School District,2019
573,Lucy N. Holman Elementary School,Public,"PK, KG-5",125 Manhattan Street,Jackson,08527,Ocean County,Jackson Township School District,2019
574,Aldrich Elementary School,Public,3-5,615 Aldrich Road,Howell,07731,Monmouth County,Howell Township Public School District,2019
575,Thomas Jefferson School,Public,3-5,James Street & Ogden Place,Morristown,07960,Morris County,Morris School District,2019
576,East Dover Elementary School,Public,K-6,300 East McFarlan Street,Dover,07801,Morris County,Dover Public School District,2019
577,Stony Brook Elementary School,Public,K-5,44 Stony Brook Road,Rockaway,07866,Morris County,Rockaway Township School District,2019
578,Clarendon School,Public,K-5,685 Fifth St,Secaucus,07094,Hudson County,Secaucus School District,2019
579,Mercerville Elementary School,Public,K-5,60 Regina Avenue,Hamilton,08619,Mercer County,Hamilton Township Public School District,2019
580,First Avenue School,Public,"PK, KG-8",214 First Ave,Newark,07107,Essex County,Newark Public School District,2019
581,South Harrison Elementary School,Public,"PK, KG-6",904 Mullica Hill Rd,Harrisonville,08039,Gloucester County,South Harrison Township School District,2019
582,Clyde S. Jennings Elementary School,Public,K-5,100 Cedar Avenue,Oaklyn,08107,Camden County,Haddon Township School District,2019
583,Grandview Elementary School,Public,K-3,130 North Randolphville Rd,Piscataway,08854,Middlesex County,Piscataway Township School District,2019
584,Lenox School,Public,K-5,35 Lenox Avenue,Pompton Lakes,07442,Passaic County,Pompton Lakes School District,2019
