rank,school,type,grades,address,city,zip,county,district,year
650,Toussaint Louverture-Marquis de Lafayette School No. 6,Public,"PK, KG-8",1071 Julia St,Elizabeth,07201,Union County,Elizabeth Public Schools,2018
651,South Seventeenth Street School,Public,K-8,619 S Seventeenth St,Newark,07103,Essex County,Newark Public School District,2018
652,Mastery Schools of Camden Inc.,"Public, Alternative",K-12,1001 North 17th Street,Camden,08105,Camden County,Mastery Schools of Camden Inc.,2018
653,Dr. E. Alma Flagg School,Public,K-8,150 Third St,Newark,07104,Essex County,Newark Public School District,2018
654,George Washington Academy School No. 1,Public,"PK, KG-8",250 Broadway,Elizabeth,07206,Union County,Elizabeth Public Schools,2018
655,Juan Pablo Duarte - Jose Julian Marti School No 28,Public,"PK, KG-8",25 First Street,Elizabeth,07206,Union County,Elizabeth Public Schools,2018
656,Quitman Street School,Public,"PK, KG-8",21 Quitman St,Newark,07103,Essex County,Newark Public School District,2018
657,George Washington Carver Elementary School,Public,"PK, KG-8",333 Clinton Pl,Newark,07112,Essex County,Newark Public School District,2018
658,Winfield Scott School No. 2,Public,"PK, KG-8",125 Madison Ave,Elizabeth,07201,Union County,Elizabeth Public Schools,2018
659,School 8,Public,K-8,35 Chadwick Street,Paterson,07503,Passaic County,Paterson Public School District,2018
660,Dr. Henry H. Davis Elementary School,Public,"PK, KG-8",3425 Cramer Street,Camden,08105,Camden County,Camden City School District,2018
661,Henry B. Wilson Family School,Public,K-8,2250 South 8th Street,Camden,08104,Camden County,Camden City School District,2018
662,Octavio V. Catto Community Family School,Public,"PK, KG-8",3100 Westfield Ave,Camden,08105,Camden County,Camden City School District,2018
663,Buckshutem Road School,Public,K-8,550 Buckshutem Road,Bridgeton,08302,Cumberland County,Bridgeton City School District,2018
664,Lindenwold Middle School,Public,5-8,40 White Horse Avenue,Lindenwold,08021,Camden County,Lindenwold Public School District,2018
665,Rafael Hernandez School,Public,"PK, KG-8",345 Broadway,Newark,07104,Essex County,Newark Public School District,2018
666,Uptown School Complex,Public,"PK, KG-8",323 Madison Avenue,Atlantic City,08401,Atlantic County,Atlantic City School District,2018
667,Dr. William H. Horton Elementary School,Public,K-8,291 N 7th St,Newark,07107,Essex County,Newark Public School District,2018
668,Senator Frank Lautenberg School,Public,K-8,137 Carroll Street,Paterson,07501,Passaic County,Paterson Public School District,2018
669,Pennsylvania Ave School,Public,"PK, KG-8",201 N. Pennsylvania Avenue,Atlantic City,08401,Atlantic County,Atlantic City School District,2018
670,Louise A. Spencer Elementary School,Public,"PK, KG-8",66 Muhammad Ali Avenue,Newark,07108,Essex County,Newark Public School District,2018
671,Rev. Dr. Frank Napier Junior School,Public,1-8,55 Clinton Street,Paterson,07522,Passaic County,Paterson Public School District,2018
672,New York Avenue School,Public,"PK, KG-8",411 N New York Avenue,Atlantic City,08401,Atlantic County,Atlantic City School District,2018
673,Ezra L. Nolan School,Public,6-8,88 Gates Ave,Jersey City,07305,Hudson County,Jersey City Public Schools,2018
674,Dunn Middle School,Public,6-8,401 Dayton Street,Trenton,08610,Mercer County,Trenton Public School District,2018
675,Newcomers,"Public, Alternative",3-11,482-506 Market Street,Paterson,07501,Passaic County,Paterson Public School District,2018
676,University High School,Public,7-12,55 Clinton Pl,Newark,07108,Essex County,Newark Public School District,2018
677,Martin Center for the Arts,Public,"PK, KG-8",59 Wilkinson Ave,Jersey City,07305,Hudson County,Jersey City Public Schools,2018
678,Ollie Culbreth Junior School,Public,"PK, KG-8",153 Union St,Jersey City,07304,Hudson County,Jersey City Public Schools,2018
679,School 10,Public,K-8,48 Mercer Street,Paterson,07524,Passaic County,Paterson Public School District,2018
680,Luis Munoz-Rivera Middle School,Public,6-8,400 N  Montgomery Street,Trenton,08618,Mercer County,Trenton Public School District,2018
681,Whitney M. Young Junior School,Public,"PK, KG-8",135 Stegman St,Jersey City,07305,Hudson County,Jersey City Public Schools,2018
682,School 21,Public,"PK, KG-8",322 Tenth Avenue,Paterson,07514,Passaic County,Paterson Public School District,2018
683,Egg Harbor City Community School,Public,4-8,730 Havana Avenue,Egg Harbor City,08215,Atlantic County,Egg Harbor City School District,2018
